publisher,extract_at,page_link,name
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/Sala-Aula-que-Derreteu-ebook/dp/B09MZQ2RNN/ref=sr_1_21?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.oa4FN5aKfjbdT5VuG6rHpwgE8yhk2EGKrjxEGiXx3QDzEkTFW8xMpZO9YPRT0AkG3Z12cmwZXrfx9lZsLce5xNG4XBs-fdXHKzc_6eiLIpJ-1Y4OJ0r3aES03218lIy0kzwsZpUSltMz-ocVXhKSxq1PHnoI70ditJrsd5anqSUwyP6pWvab4WDe21iimgMzJVNaFmIloskHQUIie_s5JXocUc--CAdshgK1hScrPoE.AmMP-HzwOeIq38cgUA78dr0mvVjcI-vf6Nr9ZQkFot0&dib_tag=se&qid=1712663705&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-21,A SALA DE AULA QUE DERRETEU
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/Voo-do-Corvo-Jean-Pierre-Gibrat-ebook/dp/B0CLZ1R76L/ref=sr_1_22?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.oa4FN5aKfjbdT5VuG6rHpwgE8yhk2EGKrjxEGiXx3QDzEkTFW8xMpZO9YPRT0AkG3Z12cmwZXrfx9lZsLce5xNG4XBs-fdXHKzc_6eiLIpJ-1Y4OJ0r3aES03218lIy0kzwsZpUSltMz-ocVXhKSxq1PHnoI70ditJrsd5anqSUwyP6pWvab4WDe21iimgMzJVNaFmIloskHQUIie_s5JXocUc--CAdshgK1hScrPoE.AmMP-HzwOeIq38cgUA78dr0mvVjcI-vf6Nr9ZQkFot0&dib_tag=se&qid=1712663705&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-22,O Voo do Corvo
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/OBSOLESC%C3%8ANCIA-PROGRAMADA-DOS-NOSSOS-SENTIMENTOS-ebook/dp/B0CLYYCRLZ/ref=sr_1_23?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.oa4FN5aKfjbdT5VuG6rHpwgE8yhk2EGKrjxEGiXx3QDzEkTFW8xMpZO9YPRT0AkG3Z12cmwZXrfx9lZsLce5xNG4XBs-fdXHKzc_6eiLIpJ-1Y4OJ0r3aES03218lIy0kzwsZpUSltMz-ocVXhKSxq1PHnoI70ditJrsd5anqSUwyP6pWvab4WDe21iimgMzJVNaFmIloskHQUIie_s5JXocUc--CAdshgK1hScrPoE.AmMP-HzwOeIq38cgUA78dr0mvVjcI-vf6Nr9ZQkFot0&dib_tag=se&qid=1712663705&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-23,A OBSOLESCÊNCIA PROGRAMADA DOS NOSSOS SENTIMENTOS
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/Vampiros-Osamu-Tezuka-ebook/dp/B0CLYYZCKR/ref=sr_1_24?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.oa4FN5aKfjbdT5VuG6rHpwgE8yhk2EGKrjxEGiXx3QDzEkTFW8xMpZO9YPRT0AkG3Z12cmwZXrfx9lZsLce5xNG4XBs-fdXHKzc_6eiLIpJ-1Y4OJ0r3aES03218lIy0kzwsZpUSltMz-ocVXhKSxq1PHnoI70ditJrsd5anqSUwyP6pWvab4WDe21iimgMzJVNaFmIloskHQUIie_s5JXocUc--CAdshgK1hScrPoE.AmMP-HzwOeIq38cgUA78dr0mvVjcI-vf6Nr9ZQkFot0&dib_tag=se&qid=1712663705&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-24,Vampiros
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/Beco-mang%C3%A1-%C3%BAnico-Junji-Ito-ebook/dp/B0CLT6KF4G/ref=sr_1_25?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.oa4FN5aKfjbdT5VuG6rHpwgE8yhk2EGKrjxEGiXx3QDzEkTFW8xMpZO9YPRT0AkG3Z12cmwZXrfx9lZsLce5xNG4XBs-fdXHKzc_6eiLIpJ-1Y4OJ0r3aES03218lIy0kzwsZpUSltMz-ocVXhKSxq1PHnoI70ditJrsd5anqSUwyP6pWvab4WDe21iimgMzJVNaFmIloskHQUIie_s5JXocUc--CAdshgK1hScrPoE.AmMP-HzwOeIq38cgUA78dr0mvVjcI-vf6Nr9ZQkFot0&dib_tag=se&qid=1712663705&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-25,O Beco (mangá volume único)
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/Rei-Kull-Edi%C3%A7%C3%A3o-Completa-Definitiva/dp/6589912785/ref=sr_1_26?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.oa4FN5aKfjbdT5VuG6rHpwgE8yhk2EGKrjxEGiXx3QDzEkTFW8xMpZO9YPRT0AkG3Z12cmwZXrfx9lZsLce5xNG4XBs-fdXHKzc_6eiLIpJ-1Y4OJ0r3aES03218lIy0kzwsZpUSltMz-ocVXhKSxq1PHnoI70ditJrsd5anqSUwyP6pWvab4WDe21iimgMzJVNaFmIloskHQUIie_s5JXocUc--CAdshgK1hScrPoE.AmMP-HzwOeIq38cgUA78dr0mvVjcI-vf6Nr9ZQkFot0&dib_tag=se&qid=1712663705&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-26,Rei Kull – Edição Completa e Definitiva
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/Lenda-Musashi-Goseki-Kojima-ebook/dp/B0CJKZZNXQ/ref=sr_1_27?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.oa4FN5aKfjbdT5VuG6rHpwgE8yhk2EGKrjxEGiXx3QDzEkTFW8xMpZO9YPRT0AkG3Z12cmwZXrfx9lZsLce5xNG4XBs-fdXHKzc_6eiLIpJ-1Y4OJ0r3aES03218lIy0kzwsZpUSltMz-ocVXhKSxq1PHnoI70ditJrsd5anqSUwyP6pWvab4WDe21iimgMzJVNaFmIloskHQUIie_s5JXocUc--CAdshgK1hScrPoE.AmMP-HzwOeIq38cgUA78dr0mvVjcI-vf6Nr9ZQkFot0&dib_tag=se&qid=1712663705&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-27,A Lenda de Musashi
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/Esculturas-Cabe%C3%A7a-acompanha-cards-exclusivos-ebook/dp/B0CJZ7LBGX/ref=sr_1_28?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.oa4FN5aKfjbdT5VuG6rHpwgE8yhk2EGKrjxEGiXx3QDzEkTFW8xMpZO9YPRT0AkG3Z12cmwZXrfx9lZsLce5xNG4XBs-fdXHKzc_6eiLIpJ-1Y4OJ0r3aES03218lIy0kzwsZpUSltMz-ocVXhKSxq1PHnoI70ditJrsd5anqSUwyP6pWvab4WDe21iimgMzJVNaFmIloskHQUIie_s5JXocUc--CAdshgK1hScrPoE.AmMP-HzwOeIq38cgUA78dr0mvVjcI-vf6Nr9ZQkFot0&dib_tag=se&qid=1712663705&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-28,As Esculturas sem Cabeça (acompanha 4 cards exclusivos)
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/Livre-Livro-%C3%9Anico-Andr%C3%A9-Carvalho/dp/6589912823/ref=sr_1_29?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.oa4FN5aKfjbdT5VuG6rHpwgE8yhk2EGKrjxEGiXx3QDzEkTFW8xMpZO9YPRT0AkG3Z12cmwZXrfx9lZsLce5xNG4XBs-fdXHKzc_6eiLIpJ-1Y4OJ0r3aES03218lIy0kzwsZpUSltMz-ocVXhKSxq1PHnoI70ditJrsd5anqSUwyP6pWvab4WDe21iimgMzJVNaFmIloskHQUIie_s5JXocUc--CAdshgK1hScrPoE.AmMP-HzwOeIq38cgUA78dr0mvVjcI-vf6Nr9ZQkFot0&dib_tag=se&qid=1712663705&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-29,Zona Livre (Livro Volume Único)
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/Monstro-Debaixo-Minha-Cama/dp/658991284X/ref=sr_1_30?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.oa4FN5aKfjbdT5VuG6rHpwgE8yhk2EGKrjxEGiXx3QDzEkTFW8xMpZO9YPRT0AkG3Z12cmwZXrfx9lZsLce5xNG4XBs-fdXHKzc_6eiLIpJ-1Y4OJ0r3aES03218lIy0kzwsZpUSltMz-ocVXhKSxq1PHnoI70ditJrsd5anqSUwyP6pWvab4WDe21iimgMzJVNaFmIloskHQUIie_s5JXocUc--CAdshgK1hScrPoE.AmMP-HzwOeIq38cgUA78dr0mvVjcI-vf6Nr9ZQkFot0&dib_tag=se&qid=1712663705&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-30,O Monstro Debaixo da Minha Cama
