format	download_at	full_price	name	publisher	release_date	pages	dimensions	ISBN-10	ISBN-13	customers_review	about	height	width	depth
CAPA COMUM	2024-04-09T12:17:28.639944	40.9	Kusuriya No Hitorigoto - Diários de uma Apotecária 01	PANINI	2024-03-10	178	13.7 x 1.1 x 20 cm	6525921570	978-6525921570	4.7	Maomao é uma garota que trabalha na corte da China Imperial. A história começa quando ela, que antes vivia como apotecária no bairro das cortesãs, acaba ouvindo um boato de que todos os filhos do imperador têm vidas muito curtas. Movida por sua curiosidade e desejo por conhecimento, Maomao começa a investigar a causa por puro interesse. Que destino a aguardará…?! Leia mais	20.0	13.7	1.1
CAPA COMUM	2024-04-15T15:43:08.881519	22.9	Ultraman - Vol. 11	EDITORA JBC	2020-10-30	200	12 x 1.4 x 18 cm	854571159X	978-8545711599	193.0	Hayata, o Ultraman original vestindo uma nova armadura, se une a Shinjiro, Moroboshi, Tarô, Hokuto e Jack em Nova York para enfrentar as forças da Estela das Trevas. Leia mais	18.0	12.0	1.4
CAPA COMUM	2024-04-09T12:17:32.607918	39.9	Dragon Ball Super Vol. 21	PANINI	2024-03-10	192	13.7 x 1.2 x 20 cm	6525920884	978-6525920887	5.0	Depois do incidente no Monte Butterfly, Trunks investiga o conteúdo do disco que ele e Goten encontraram por lá. Entretanto, um cientista misterioso está planejando roubar o disco das mãos de Trunks usando Beta, um aluno transferido! Enquanto isso, o maléfico Exército Red Ribbon está agindo novamente...?! Leia mais	20.0	13.7	1.2
CAPA COMUM	2024-04-15T15:43:12.758979	22.9	Ultraman - Vol. 12	EDITORA JBC	2020-10-30	200	12 x 1.4 x 18 cm	8545711603	978-8545711605	148.0	Depois do épico desfecho da batalha de Nova York, os Irmãos Leo surgem. O objetivo da dupla de assassinos é eliminar o alien Adad. Leia mais	18.0	12.0	1.4
CAPA COMUM	2024-04-15T15:43:19.965342	27.9	I Sold My Life For Ten Thousand Yen Per Year - Vol. 03	EDITORA JBC	2020-10-26	200	20 x 13.2 x 1.2 cm	854571498X	978-8545714989	257.0	O apego pela sua monitora aumenta, assim como os momentos vividos ao seu lado se tornam cada vez mais valiosos. Teria Kusunoki se arrependido de abrir mãos de sua vida? É chegada a hora da verdade!! Leia mais	20.0	13.2	1.2
CAPA COMUM	2024-04-09T12:17:36.035896	39.9	Kaiju N.° 8 Vol. 10	PANINI	2024-03-10	188	13.7 x 1.2 x 20 cm	6525921619	978-6525921617	5.0	Equipado com a numerada 10, Hoshina precisa encarar constantes desastres.A batalha utilizando o primeiro equipamento com consciência da história da humanidade é extremamente difícil, mas a perspicácia do vice-comandante altera os ataques. Enquanto isso, seis kaijus gigantes aparecem na região de Oizumi, onde Kafka está, piorando as condições da batalha. Então, uma ajuda inesperada aparece!!!Neste décimo volume, as intenções do número 9 acabam se misturando!!! Leia mais	20.0	13.7	1.2
CAPA COMUM	2024-04-15T15:43:25.995129	189.0	I Sold My Life For Ten Thousand Yen Per Year - Vol. 01	EDITORA JBC	2020-10-26	200	20 x 13.2 x 0.6 cm	8545714637	978-8545714637	305.0	Desiludido com a vida e sem perspectivas de uma futuro melhor, Kusunoki, decide vender seu tempo de vida por 300 mil ienes. Agora com apenas três meses lhe sobrando, o rapaz parte em uma jornada de descobertas sobre si mesmo e de tudo que deixou para trás. Leia mais	20.0	13.2	0.6
CAPA COMUM	2024-04-09T12:17:40.007869	36.9	O Verão em que Hikaru Morreu 03	PANINI	2024-03-10	190	13.7 x 1.8 x 20 cm	6525907012	978-6525907017	5.0	"Yoshiki e Hikaru cresceram juntos em um certo vilarejo.No entanto, certo dia, Yoshiki teve certeza de que aquele que achava ser Hikaru foi trocado por alguma ""coisa"". Um “Hikaru” de aparência completamente idêntica. Estava claro que, por dentro, ele não era “gente”, mas, mesmo sabendo disso, Yoshiki se aproximou da criatura e continuou levando sua vida de sempre. A distância entre ambos diminuiu com as demonstrações de compreensão de Yoshiki, até que um certo caso o faz sentir na pele que há um vazio impreenchível de valores entre si e aquele que não é humano. No final deste volume, há um capítulo inédito que mostra o dia a dia deles em sala de aula. Leia mais"	20.0	13.7	1.8
CAPA COMUM	2024-04-15T15:43:35.034197	29.03	Fullmetal Alchemist - Especial - Vol. 23	EDITORA JBC	2020-10-23	200	13.5 x 1.2 x 20.5 cm	8545707401	978-8545707400	932.0	É o início da batalha final!! Al enfrenta Kimbley e Orgulho na favela Kanama! No QG de Central City, os irmãos Armstrong precisarão enfrentar o “exército imortal” e o homúnculo Preguiça! E o Coronel Mustang finalmente descobre o verdadeiro assassino de Hughes e parte para a vingança… AUTOR: Hiromu Arakawa No. PÁGINAS: 200 Leia mais	20.5	13.5	1.2
CAPA COMUM	2024-04-09T12:17:43.783845	40.9	Hanako-Kun e os Mistérios do Colégio Kamome Vol. 20	PANINI	2024-03-10	176	13.7 x 1.1 x 20 cm	6525921643	978-6525921648		Primeira e última noite fora.A turbulência causada pelo número 6 foi resolvida e Hikari e os outros voltaram às suas vidas diárias. Ao decidir se tornar exorcista novamente, ele se reencontra com Mitsuba, de quem estava separado. Sua alegria dura pouco, mas as palavras que Mitsuba lhe diz são inesperadas... O 20º volume dos Sete Mistérios e a vida noturna da escola! Leia mais	20.0	13.7	1.1
CAPA DURA	2024-04-15T15:43:41.824735	72.9	Cavaleiros do Zodíaco – Saint Seiya Kanzenban Vol. 18	EDITORA JBC	2020-10-22	244	14.5 x 2 x 21 cm	8545714645	978-8545714644	401.0	Começa a batalha nas profundezas do Inferno! Os Cavaleiros de Bronze invadem o Mundo dos Mortos para levar a estátua de Atena para Saori. Shun e Seiya são os primeiros. Eles precisam atravessar o rio Aqueronte repleto por cadáveres famintos para poderem adentrar nas terras dominadas por Hades e seguir com sua missão. Leia mais	21.0	14.5	2.0
CAPA COMUM	2024-04-09T12:17:47.187822	37.9	Vinland Saga Vol. 27	PANINI	2024-03-10	192	13.7 x 1.2 x 20 cm	652592149X	978-6525921495	5.0	Após finalmente chegar à prometida Vinland, Thorfinn, que está dando tudo de si para o desenvolvimento do vilarejo Arneis se vê diante dos nativos. O rapaz deseja criar laços de amizade com o povo Ulnoo, no entanto, Ivar se sente pessimista diante dessa situação. Nesse meio-tempo, Misqeg Pigw realiza um ritual para ver o futuro, que o revela a destruição que Thorfinn e os nórdicos trarão à terra. Além disso, Gudrid revela que está grávida e Hild finalmente decide deixar seu ódio para trás a fim de perdoar Thorfinn. Com grandes esperanças e um punhado de ansiedade, a plantação de trigo de Vinland cintila intensamente. Leia mais	20.0	13.7	1.2
CAPA COMUM	2024-04-15T15:43:49.187831	22.9	The Seven Deadly Sins - Vol. 39	EDITORA JBC	2020-10-21	200	13.5 x 1 x 20.5 cm	6555940107	978-6555940107	233.0	O clímax da batalha entre os Sete Pecados contra o Rei dos Demônios se aproxima. Para salvar o irmão de Meliodas e dar um fim ao conflito, Escanor toma uma atitude desesperada. Leia mais	20.5	13.5	1.0
CAPA DURA	2024-04-15T15:43:58.097321	64.9	O regresso de Jaspion	EDITORA JBC	2020-10-16	192	17.5 x 1.8 x 24 cm	8545714149	978-8545714149	1.789	A história é retomada do ponto onde a série de TV acabou. Depois de derrotar Satan Goss e MacGaren em uma batalha mortal, Jaspion deixou o Planeta Terra para lutar contra as forças do mal por todo o universo. Mas surge uma nova ameaça! A concentração de energia negativa traz a terrível bruxa galáctica Kilmaza de volta à vida. Tomada pelo desejo de vingança contra o Campeão da Justiça, agora ela planeja ressuscitar não apenas MacGaren, mas Satan Goss e outros aliados. É hora de Jaspion voltar à Terra e lutar mais uma vez contra as forças do mal. Para isso, o herói contará com a ajuda de velhos amigos como Boomerman, Anri, Miya, John Tiger e o Gigante Guerreiro Daileon. Uma nova batalha mortal está prestes a começar! O destino da Terra e de toda a galáxia está mais uma vez nas mãos de Jaspion. Avante, guerreiro da justiça! Você precisa impedir que Satan Goss e seu exército de monstros desperte e comece uma nova Era das Trevas em toda a Via Láctea. Leia mais	24.0	17.5	1.8
CAPA COMUM	2024-04-09T12:17:54.223776	39.9	Sakamoto Days 09	PANINI	2024-03-8	200	13.7 x 1.3 x 20 cm	6525919584	978-6525919584	5.0	Sakamoto aparece para acudir Shin e enfrenta Shinaya, que está sob controle de Gaku!! E a irritação de Sakamoto por ter seu companheiro ferido explode!! Qual será o resultado desse tão inusitado exame de transferência da JCC...?! Esquivem-se das obstruções causadas pela atividade de Slur e ponham as mãos no seu histórico!! Leia mais	20.0	13.7	1.3
CAPA COMUM	2024-04-09T12:17:57.683753	31.9	Justiceiro (2023) Vol. 4	PANINI	2024-03-8	104	17 x 0.7 x 26 cm	6525919312	978-6525919317		O Punho da Besta por fim se ergueu completamente, e seu novo poder e fúria serão liberados sobre o mundo. Enquanto isso, Maria continua a desvendar segredos obscuros do passado, inclusive sobre a origem do Justiceiro. Entretanto, o resto do Universo Marvel não está tão contente com o novo posto de Sumo Matador de Frank Castle, e tudo indica que, se o Justiceiro quiser dar um fim à sua guerra de uma vez por todas, ele será forçado a passar por cima de alguns rostos familiares. Leia mais	26.0	17.0	0.7
CAPA COMUM	2024-04-15T15:44:07.117250	22.9	My Hero Academia - Vol. 18	EDITORA JBC	2020-10-15	192	20.2 x 13.4 x 1.2 cm	8545710577	978-8545710578	1.184	Com a ajuda do dom da Eri de “voltar no tempo”, Midoriya consegue extrair 100% de sua força. Lutar por algo… lutar para proteger te faz um herói!!! Leia mais	20.2	13.4	1.2
CAPA COMUM	2024-04-08T21:41:42.187310	89.9	O sonho de uma Apaixonada por Livros: Volume 1	NEWPOP	2024-01-31	432	15 x 3 x 21 cm	8583625360	978-8583625360	5.0	Uma certa jovem universitária acaba reencarnando como a filha de um soldado em um mundo de baixa alfabetização e com poucos livros. Mesmo querendo ler, não há livros ao seu redor. O que fazer quando não tem livros? Faça você mesma! Rumo ao cargo de bibliotecária! Para viver rodeados de livros, precisamos começar pela parte de criar um livro! Esta é uma fantasia literária feita por apaixonados por livros para apaixonados por livros! Leia mais	21.0	15.0	3.0
CAPA COMUM	2024-04-09T12:18:01.275730	40.9	Insones - Caçando estrelas depois da aula 11	PANINI	2024-03-8	192	13.7 x 1.2 x 20 cm	652591972X	978-6525919720		“E agora, nós estamos com 16 anos.”O primeiro inverno de suas vidas colegiais segue tranquilamente, com a festa do pijama na casa de Nono-san.Ganta faz 16 anos, e ambos se tornam estudantes do 2º ano do colegial. A vida escolar fica mais animada quando passam de ano e fazem novas amizades. O futuro desenhado pela Isaki, e o futuro desenhado pelo Ganta. As estações passam, indo para a segunda primavera. Leia mais	20.0	13.7	1.2
CAPA COMUM	2024-04-15T15:44:16.185528	22.9	My Hero Academia - Vol. 16	EDITORA JBC	2020-10-15	200	20.4 x 13.4 x 1.2 cm	8545709668	978-8545709664	1.331	O grupo de Estagiários Midoriya, Kirishima, Uraraka e Asui se uniu com alguns Heróis profissionais para participarem do Plano de Invasão! Kirishima dá tudo de si e vai mostrar toda a hombridade que tem! AUTOR: Kohei Horikoshi No. PÁGINAS: 200 Leia mais	20.4	13.4	1.2
CAPA COMUM	2024-04-15T15:44:27.442237	22.9	My Hero Academia - Vol. 17	EDITORA JBC	2020-10-15	200	20.4 x 13.4 x 1 cm	8545710569	978-8545710561	1.155	Mirio se arrepende de não ter podido fazer nada por Eri… Mas agora, com a operação de resgate, o garoto não vai desistir!!! Power!!! Leia mais	20.4	13.4	1.0
CAPA COMUM	2024-04-09T12:18:04.619708	29.9	Superman 07/84	PANINI	2024-03-8	96	17 x 0.6 x 26 cm	6525919967	978-6525919966		Começa aqui a incursão do núcleo do Superman no novo evento do Universo DC chamado Cavaleiro dos Pesadelos! Aqui, o Homem de Aço será obrigado a encarar seu maior medo na Dimensão dos Pesadelos e passará por uma jornada sinuosa que o levará diretamente até um ser incrivelmente perigoso! Além do Superman, mais heróis serão aprisionados; os Supergêmeos do Mundo Bélico também foram levados para a dimensão maligna, e cabe à sua família e amigos tentarem resgatá-los! Leia mais	26.0	17.0	0.6
CAPA COMUM	2024-04-15T15:44:36.484699	22.9	My Hero Academia - Vol. 19	EDITORA JBC	2020-10-15	193	20.2 x 13.2 x 0.8 cm	8545710585	978-8545710585	1.126	O Festival Cultural vai começar!! Todas as turmas do Colégio U.A. estão se esforçando para fazer um evento bem divertido, e a 1-A não é exceção!! Let’s Rock and roll! Leia mais	20.2	13.2	0.8
CAPA COMUM	2024-04-09T12:18:08.151685	27.9	Os Vingadores 04/61	PANINI	2024-03-8	80	17 x 0.5 x 26 cm	6525919282	978-6525919287		Uma grande batalha está diante dos Vingadores quando precisam enfrentar a Aliança Cinzenta. Mas será que nossos heróis serão capazes de vencê-los se forem forçados a se dividir? Em seguida, Thor tem sido caçado por Toranos através das estrelas, e finalmente se encontra preso em um quebra-cabeça do tamanho de um planeta. Nesse lugar, sua coroa e sua força divina não valem nada. Será que ele sobreviverá a esse teste? Por fim, Tony Stark finalmente ficará cara a cara com Feilong – e o vencedor dessa batalha também definirá o futuro das Indústrias Stark. Leia mais	26.0	17.0	0.5
CAPA COMUM	2024-04-15T15:44:46.527047	28.5	A Heróica lenda de Arslan - Vol.04	EDITORA JBC	2020-10-12	200	13.2 x 1.2 x 20 cm	8545714556	978-8545714552	103.0	Os heróis se unem a Arslan! Com a chegada da sacerdotisa Farangis e do bardo Gieve, o grupo que almeja a retomada de Pars agora possui seis integrantes. Diante dos terríveis planos do Máscara de Prata e dos trezentos mil soldados de Lusitania, reunir aliados é uma tarefa urgente! Em busca de ajuda, Arslan e seus aliados seguem para a fortaleza de Kashan, onde são calorosamente recepcionados pelo governante local, Hodir. Porém... Uma turbulenta noite açoita o grupo e coloca à prova as convicções de Arslan, um príncipe recém ingresso na longa jornada para se tornar rei! Mas o que significa ser um rei de verdade? Eis uma provação para o herdeiro do trono! Leia mais	20.0	13.2	1.2
CAPA DURA	2024-04-09T12:18:12.023660	99.9	Dylan Dog: Johnny Freak	PANINI	2024-03-8	208	17 x 1.3 x 26 cm	6525919177	978-6525919171		Um porão lá no fundo, no escuro da noite, com as paredes iluminadas por mil afrescos. É a casa de Johnny Freak, Johnny sem pernas, Johnny surdo-mudo e abandonado em seu silêncio. Quem o deixou desse jeito? Por trás dos olhos do menino se lê um oceano de trevas. Uma história de solidão e terror que ninguém jamais contou. Johnny morreu há muito tempo, mas a sombra dos horrores que o menino havia sofrido permaneceu, e o seu meio-irmão Dougal, o mais terrível dos seus carrascos, sumiu sem deixar pistas. Quem está praticando essa vingança? É mesmo o fantasma daquele velho amigo? Dylan Dog não acredita, porque sabe que o ódio jamais encontrou espaço no coração de Johnny! Leia mais	26.0	17.0	1.3
CAPA COMUM	2024-04-15T15:44:51.907234	61.6	A Heróica lenda de Arslan - Vol.03	EDITORA JBC	2020-10-12	192	13.2 x 1.2 x 20 cm	8545714548	978-8545714545	108.0	Arslan finalmente começa a reunir os poucos aliados que lhe resta para tentar tomar de volta o seu reino de volta. Porém, não bastasse a gritante diferença númerica de guerreiros, o general Kharlan ainda prepara uma armadilha para o jovem príncipe. Leia mais	20.0	13.2	1.2
CAPA COMUM	2024-04-09T12:18:15.375638	12.9	Aventuras Marvel 07	PANINI	2024-03-8	48	14.5 x 0.3 x 21.7 cm	652591938X	978-6525919386		Quando o Abutre rouba uma máscara sagrada africana, o Homem-Aranha não é o único em seu encalço. Kraven, o Caçador, está na cidade e vai certificar-se de que a máscara vai parar exatamente onde pertence - quer o Aranha e o Abutre gostem ou não! E ainda: quando toda a força de trabalho da Stark China simplesmente desaparece, o Homem de Ferro parte para investigar o que houve. Ele logo descobre que eles foram sequestrados para construir o mais recente horror tecnológico do Mandarim: um navio-dragão de mais de 300 m de comprimento que destrói tudo em seu caminho... incluindo o Vingador Blindado! Leia mais	21.7	14.5	0.3
CAPA COMUM	2024-04-09T12:18:18.767616	40.9	10 coisas para fazer antes dos 40 Vol. 01	PANINI	2024-03-4	248	13.7 x 1.6 x 20 cm	6525920965	978-6525920962	5.0	Um homem que está há mais de dez anos sem namorar, que já desistiu do amor e daqui três meses está para fazer 40 anos.“Festa com bolinhos de polvo”, “comer parfait”, “passar o aniversário com o namorado”… a lista ultrassecreta de coisas para fazer antes dos 40 foi vista justo pelo seu belo subordinado, dez anos mais novo, e ele ainda resolve ajudá-lo a realizar todos esses desejos…?!Sua vida mudou completamente ao criar essa lista?!Começa um romance entre um subordinado bonitão e seu chefe maduro. Leia mais	20.0	13.7	1.6
CAPA COMUM	2024-04-15T15:45:01.099902	22.9	My Hero Academia - Vol. 12	EDITORA JBC	2020-09-26	192	20.4 x 13.2 x 1.2 cm	8545707487	978-8545707486	1.123	Os alunos da sala 1-A vão ter que quebrar a cabeça para criarem golpes especiais e customizarem seus uniformes!! Com colégios rivais e personagens novos surgindo, o Teste de Licença Provisória de Herói começou!! AUTOR: Kohei Horikoshi No. PÁGINAS: 192 Leia mais	20.4	13.2	1.2
CAPA COMUM	2024-04-09T12:18:22.631591	64.9	Bleach Remix Vol. 19	PANINI	2024-03-4	552	13.7 x 3.5 x 20 cm	6525921740	978-6525921747	5.0	A verdade escondida no emblema do shinigami substituto... os laços entre Ichigo e os shinigamis são colocados à prova.Ginjo deseja obsessivamente se vingar dos Shinigamis. Ichigo recupera seus poderes a partir da zanpakutou de Rukia. Quais as consequências para a Soul Society e para Ichigo com o embate entre o antigo e o novo Shinigami substituto? Leia mais	20.0	13.7	3.5
CAPA COMUM	2024-04-15T15:45:06.799585	22.9	My Hero Academia - Vol. 14	EDITORA JBC	2020-09-26	216	20.4 x 13.2 x 0.8 cm	8545709684	978-8545709688	1.227	As férias de verão acabaram e vai começar o segundo semestre!! O Estágio de Heróis também vai começar, e um trio de veteranos conhecidos como Big 3 chegou pra ajudar a turma do 1-A!!! AUTOR: Kohei Horikoshi No. PÁGINAS: 216 Leia mais	20.4	13.2	0.8
CAPA COMUM	2024-04-09T12:18:26.431566	39.9	A Saga dos X-Men Vol. 21	PANINI	2024-03-4	144	17 x 0.9 x 26 cm	6525921244	978-6525921242	5.0	Sina pressente um destino terrível se aproximando para os X-Men e o mundo inteiro! Paralelamente, Tempestade é forçada a enfrentar perigosos animais sobrenaturais, mas pode estar prestes a descobrir que nem tudo é o que parece quando um reencontro desperta antigos ressentimentos e paixões… Em seguida, os X-Men sofrem um implacável ataque da Força Federal em Dallas, mas o confronto pode precisar esperar quando o caos provocado pelo Adversário começa a despedaçar a cidade! Por fim, uma batalha eletrizante entre Wolverine e ninguém mais ninguém menos que o Incrível Hulk! Leia mais	26.0	17.0	0.9
CAPA COMUM	2024-04-15T15:45:11.094158	22.9	My Hero Academia - Vol. 15	EDITORA JBC	2020-09-26	192	20.32 x 12.95 x 1.27 cm	8545709676	978-8545709671	1.178	O Estágio de Heróis é mais intenso do que se imagina, e Midoriya se vê no meio de um turbilhão de emoções: uma donzela em perigo, a destruição da relação mestre-discípulo e planos malignos de uma organização maligna… E agora?! AUTOR: Kohei Horikoshi No. PÁGINAS: 192 Leia mais	20.32	12.95	1.27
CAPA COMUM	2024-04-15T15:45:22.190507	22.9	My Hero Academia - Vol. 13	EDITORA JBC	2020-09-26	192	20.4 x 13.4 x 1 cm	8545709692	978-8545709695	1.251	Começou a “Simulação de Resgate” do Exame de Licença Provisória de Herói! Agora, é preciso analisar a situação, ter respostas ágeis e, o mais importante, trabalho em equipe… AUTOR: Kohei Horikoshi No. PÁGINAS: 192 Leia mais	20.4	13.4	1.0
CAPA COMUM	2024-04-15T15:47:18.078866	54.9	Fruits Basket - Edição de Colecionador - Vol. 3	EDITORA JBC	2020-04-9	392	18.2 x 13 x 2.8 cm	8545711921	978-8545711926	419.0	Depois de uma viagem tranquila para a casa de campo dos Souma, Tohru conhece a possuída pelo signo do Tigre, que está guardando um grande fardo dentro de si… Em meio a mais um dia a dia corriqueiro, o mestre de Kyo surge diante do trio principal, e um segredo carregado apenas pelos possuídos pelo espírito do gato está prestes a ser revelado… Leia mais	18.2	13.0	2.8
CAPA COMUM	2024-04-09T12:19:13.331262	39.9	Namorada de Aluguel Vol. 32	PANINI	2024-03-4	200	13.7 x 1.3 x 20 cm	6525921600	978-6525921600	5.0	A feliz vida juntos continua!! Kazuya ajudava a arrumar a casa da família de Mizuhara, mas acabou preso com ela no armário!! Ficando tão próximos em um espaço fechado, não tem como não acontecer nada entre eles…! Os dois ainda saem para se divertir fazendo compras com a Yaemori! E quando Kazuya vê uma Mizuhara em clima totalmente descontraído, seus sentimentos por ela ameaçam explodir! O volume 32 transborda de amor com o arco dos namorados vivendo juntos!! Leia mais	20.0	13.7	1.3
CAPA COMUM	2024-04-15T15:47:29.143819	25.74	Fire Punch Vol. 07	EDITORA JBC	2020-04-9	208	20 x 13.4 x 1.4 cm	8545714173	978-8545714170	262.0	A promessa que fez com Tena não sai de sua cabeça. A paz falsa, pintada e endurecida com a mentira… Tudo se torna um sofrimento que supera a raiva, a dor e a loucura da época em que era Fire Punch, e essa culpa causa sofrimento e acua Agni até não poder mais!! Em meio a esse inferno sem saída, um ex-aliado surge diante dele e…?! Leia mais	20.0	13.4	1.4
CAPÍTULOS AVULSOS	2024-04-09T12:19:16.739240	84.9	Viúva-Negra: Teia de Intrigas	PANINI	2024-03-4	176	17 x 1.1 x 26 cm	6525922070	978-6525922072	5.0	Tem sido uma vida longa e animada para Natasha Romanoff, a ex-espiã russa conhecida como Viúva-Negra - lutando lado a lado com os Vingadores, os Campeões, a S.H.I.E.L.D. e outros. Mas isso tudo poderia acabar com a Viúva cercada por assassinos internacionais? Antigos e novos inimigos estão usando o instrutor de Natasha, seu mentor e seu ex-marido contra ela - ou pelo menos é o que parece - mas em quem e em que se pode confiar no cenário de mentiras de um espião? Participação especial de Nick Fury, Jimmy Woo e outros especialistas em espionagem! Leia mais	26.0	17.0	1.1
CAPA COMUM	2024-04-15T15:47:39.185246	25.9	Fire Punch Vol. 08	EDITORA JBC	2020-04-9	208	20 x 13.2 x 1.4 cm	8545714181	978-8545714187	220.0	Envolvido novamente pelas chamas no corpo inteiro, Agni vai atrás de Yuda!! Diante do jovem que encarnou o papel do “vilão”, surge Sun que o enfrenta com grande desilusão e fúria!! Será a chama de vingança ou a tocha de perdão que irá dar um fim neste mundo…?! A eletrizante dark fantasy chega ao fim!! Leia mais	20.0	13.2	1.4
CAPA COMUM	2024-04-09T12:19:20.311217	27.9	O Espetacular Homem-Aranha Vol. 15 / 59	PANINI	2024-03-4	80	17 x 0.5 x 26 cm	6525921147	978-6525921143		Alguém tenta assassinar o Homem-Aranha e a Gata Negra, e a verdade por trás do ataque vai mostrar que a vida realmente não é das mais fáceis para Peter Parker. Em seguida, a Tecelã se prepara para adentrar a maior batalha que já enfrentou em sua vida! Por fim, a aventura de Mary Jane Watson e a Gata Negra finalmente chega à sua conclusão, e os segredos que serão revelados podem vir a abalar a relação das duas para sempre! Leia mais	26.0	17.0	0.5
CAPA COMUM	2024-04-09T12:19:23.651195	39.9	Kokoro no Program 02	PANINI	2024-03-4	200	13.7 x 1.3 x 20 cm	6525920809	978-6525920801		"Ichiko está aprendendo sobre o ""coração"". Já é o seu terceiro verão na casa de Kyuu. Pouco a pouco, novas emoções começam a brotar...?Depois de ir mal nas primeiras provas do Ginásio, Kyuu é apresentado por Ichiko ao seu novo professor particular, Neo, um robô em conserto. Diante da amizade entre os dois robôs, Kyuu se sente estranho e toma uma atitude: ele volta a se aproximar de Ai após um período de afastamento e, com isso, seus sentimentos por Ichiko sofrem uma grande mudança..?! Leia mais"	20.0	13.7	1.3
CAPA COMUM	2024-04-15T15:47:48.957687	19.9	Uq Holder - Vol.17	EDITORA JBC	2020-04-9	176	20.4 x 13.2 x 0.8 cm	8545711484	978-8545711483	110.0	A UQ Holder consegue evitar o ataque súbito da Cutlass, mas uma nova ameaça surge no mundo: uma bomba nuclear armada no trem do elevador orbital. Salvar a vida de mil pessoas? A vida de um milhão? Ou o espírito de Kirie?! Enquanto Touta é obrigado a decidir entre opções extremas o agravante plano de Cutlass explode!! Leia mais	20.4	13.2	0.8
CAPA COMUM	2024-04-09T12:19:27.227172	36.9	The Elusive Samurai 07	PANINI	2024-03-4	200	13.7 x 1.3 x 20 cm	6525920604	978-6525920603		Tokiyuki, investigando uma rota de fuga após saber do plano de assassinato do imperador, coincidentemente encontra o deus guerreiro, Masashige Kusunoki. Para aprender com o conselheiro do imperador a arte secreta da fuga, Tokiyuki vai sozinho até a mansão de Kusunoki! É a grande oportunidade para se aproximar de Takauji Ashikaga! Seguindo a estratégia de Fubuki, Tokiyuki e seu grupo colocam em prática o plano de assassinato de Takauji! Leia mais	20.0	13.7	1.3
CAPA COMUM	2024-04-15T15:47:57.602913	19.9	Uq Holder - Vol.18	EDITORA JBC	2020-04-9	176	20.4 x 13.4 x 0.8 cm	8545711492	978-8545711490	103.0	Um mundo sem Asuna Kagurazaka mostrado pelas memórias de Chachazero. Nesse mundo, Negi não consegue derrotar Ialda e perde vários amigos. De coração partido, o jovem vai até Eva e consegue um breve período de tranquilidade, mas volta a enfrentar dias turbulentos se preparando para a decisão de seu trágico destino… Leia mais	20.4	13.4	0.8
CAPA COMUM	2024-04-15T15:48:05.460838	29.9	Cavaleiros do Zodíaco - Lost Canvas Especial - Vol.16	EDITORA JBC	2020-03-30	208	20 x 13.2 x 1.4 cm	8545714157	978-8545714156	561.0	Abandonando as calorosas memórias do sorriso de seu amigo, Tenma finalmente toma sua decisão. Para pôr um fim à Guerra Santa, ao destino e tudo mais, o Cavaleiro de Pégaso enfrenta Hades mais uma vez!! O clímax da Guerra Santa! O Exército de Atena se prepara para invadir Lost Canvas, e o guardião do Templo Demoníaco que os aguarda é...?! Leia mais	20.0	13.2	1.4
CAPA COMUM	2024-04-09T12:19:30.771149	39.9	Undead Unluck Vol. 14	PANINI	2024-03-4	200	13.7 x 1.3 x 20 cm	6525921481	978-6525921488		Andy entra em confronto com Nico, que traiu a Union para poder ressuscitar sua amada esposa. Até que Andy põe toda sua alma em sua espada e corta de uma vez por todas o Ghost, o UMA que interferiu na disputa!! Assim, a alma de Fuuko retorna ao seu corpo e ela ruma para a Arca na intenção de seguir para o próximo loop, mas que perigos estarão em seu caminho?! Leia mais	20.0	13.7	1.3
CAPA COMUM	2024-04-15T15:48:15.506015	29.9	Cavaleiros do Zodíaco - Lost Canvas Especial - Vol.17	EDITORA JBC	2020-03-30	192	19.8 x 13 x 1.2 cm	8545714165	978-8545714163	578.0	O Exército de Atena avança para o Lost Canvas nos céus a fim de derrotar o Imperador Hades! Porém, o exército de Espectros possui uma estratégia e se aproxima cada vez mais da Deusa e do Santuário...! Espectros misteriosos que atacam o Santuário! Quem irá enfrentá-los é Dohko de Libra!! Dá-se início a uma batalha pelo sangue de Atena!! Leia mais	19.8	13.0	1.2
CAPA COMUM	2024-04-09T12:19:34.303127	40.9	Erros Divinos 01	PANINI	2024-03-4	186	13.7 x 1.2 x 20 cm	6525920817	978-6525920818		O estudante Kon vive em um mundo com fenômenos excepcionais periódicos, mais comumente conhecidos como bugs. Ele trabalha como assistente não oficial de sua senhoria Kasane Himesaki, uma importante pesquisadora na área, e eles estudam os efeitos e o impacto dessas misteriosas anormalidades. Alguns bugs trazem diversão, outros intrigam e outros ainda causam transtornos ao seu dia a dia. Neste mundo em constante mudança, só há uma coisa certa: os momentos mais comuns podem ser os mais extraordinários de todos! Leia mais	20.0	13.7	1.2
CAPA DURA	2024-04-15T15:48:26.559036	69.9	Cavaleiros do Zodíaco – Saint Seiya Kanzenban Vol. 17	EDITORA JBC	2020-03-30	248	21.6 x 15 x 2.2 cm	8545713614	978-8545713616	467.0	O Exército de Hades invade o Santuário, e Saga, Shura e Camus estão sob o comando do Imperador do Inferno!! Os Cavaleiros de Ouro fazem de tudo para enfrentá-los e defender sua deusa, e uma grande decisão poderá mudar o curso da Guerra Santa…! Leia mais	21.6	15.0	2.2
